signal_id,timestamp,symbol,alert_type,confidence,entry_price,tp1,tp2,stop_loss,risk_reward_ratio,factors_bullish,factors_bearish,rvol,volume_spike,confluence_score,gap_detected,news_impact,status,outcome_timestamp,outcome_price,profit_loss_percent,actual_rr_achieved
AVGO_20251013_143041,2025-10-13T14:30:41.468281,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143042,2025-10-13T14:30:42.591770,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,True,8,True,MEDIUM,OPEN,,,,
NVDA_20251013_143046,2025-10-13T14:30:46.622247,NVDA,STRONG BUY,46.4,186.06,186.89,190.62,185.76,2.77,13,3,0.44,False,6,True,EXTREME,OPEN,,,,
QQQ_20251013_143046,2025-10-13T14:30:46.976530,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143047,2025-10-13T14:30:47.859893,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AVGO_20251013_143053,2025-10-13T14:30:53.353813,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143053,2025-10-13T14:30:53.746241,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,True,8,True,MEDIUM,OPEN,,,,
TSLA_20251013_143119,2025-10-13T14:31:19.673860,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143119,2025-10-13T14:31:19.974388,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143120,2025-10-13T14:31:20.021465,NVDA,STRONG BUY,46.4,186.06,186.89,190.62,185.76,2.77,13,3,0.44,False,6,True,EXTREME,OPEN,,,,
AVGO_20251013_143125,2025-10-13T14:31:25.574371,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,True,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143126,2025-10-13T14:31:26.162412,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143149,2025-10-13T14:31:49.714633,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143150,2025-10-13T14:31:50.147344,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143150,2025-10-13T14:31:50.197629,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143155,2025-10-13T14:31:55.758529,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143155,2025-10-13T14:31:55.813758,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,True,2,True,EXTREME,OPEN,,,,
NVDA_20251013_143216,2025-10-13T14:32:16.353609,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143217,2025-10-13T14:32:17.323070,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143218,2025-10-13T14:32:18.476433,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143225,2025-10-13T14:32:25.543489,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143227,2025-10-13T14:32:27.321612,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AVGO_20251013_143231,2025-10-13T14:32:31.724633,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143235,2025-10-13T14:32:35.157130,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,8,True,MEDIUM,OPEN,,,,
AVGO_20251013_143237,2025-10-13T14:32:37.798999,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
QQQ_20251013_143241,2025-10-13T14:32:41.015168,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143244,2025-10-13T14:32:44.652097,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143249,2025-10-13T14:32:49.816055,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143250,2025-10-13T14:32:50.049989,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143250,2025-10-13T14:32:50.464364,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143256,2025-10-13T14:32:56.847718,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143303,2025-10-13T14:33:03.056211,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
NVDA_20251013_143316,2025-10-13T14:33:16.210399,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143316,2025-10-13T14:33:16.818397,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143317,2025-10-13T14:33:17.259819,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AVGO_20251013_143324,2025-10-13T14:33:24.643190,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143326,2025-10-13T14:33:26.511091,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,True,8,True,MEDIUM,OPEN,,,,
NVDA_20251013_143329,2025-10-13T14:33:29.605672,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143329,2025-10-13T14:33:29.975760,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143331,2025-10-13T14:33:31.369139,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AVGO_20251013_143334,2025-10-13T14:33:34.635273,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143336,2025-10-13T14:33:36.042175,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,True,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143349,2025-10-13T14:33:49.669779,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143349,2025-10-13T14:33:49.745890,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143350,2025-10-13T14:33:50.330449,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143355,2025-10-13T14:33:55.907582,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,True,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143356,2025-10-13T14:33:56.034169,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
TSLA_20251013_143416,2025-10-13T14:34:16.320487,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143416,2025-10-13T14:34:16.524295,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,True,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143418,2025-10-13T14:34:18.143016,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
AVGO_20251013_143422,2025-10-13T14:34:22.552325,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,True,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143423,2025-10-13T14:34:23.173497,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143515,2025-10-13T14:35:15.747787,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143516,2025-10-13T14:35:16.064462,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143516,2025-10-13T14:35:16.433424,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143521,2025-10-13T14:35:21.839756,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143522,2025-10-13T14:35:22.026464,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
NVDA_20251013_143522,2025-10-13T14:35:22.676821,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143527,2025-10-13T14:35:27.965166,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AMZN_20251013_143528,2025-10-13T14:35:28.618274,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143528,2025-10-13T14:35:28.903744,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
QQQ_20251013_143529,2025-10-13T14:35:29.043216,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143615,2025-10-13T14:36:15.925467,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143616,2025-10-13T14:36:16.005584,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143616,2025-10-13T14:36:16.533809,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143621,2025-10-13T14:36:21.996161,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143622,2025-10-13T14:36:22.309752,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143622,2025-10-13T14:36:22.693855,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143623,2025-10-13T14:36:23.064209,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
AVGO_20251013_143628,2025-10-13T14:36:28.581096,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
QQQ_20251013_143628,2025-10-13T14:36:28.910661,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143630,2025-10-13T14:36:30.113514,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143644,2025-10-13T14:36:44.221963,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143644,2025-10-13T14:36:44.265766,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143644,2025-10-13T14:36:44.599270,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143650,2025-10-13T14:36:50.282571,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
AVGO_20251013_143650,2025-10-13T14:36:50.342600,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
TSLA_20251013_143650,2025-10-13T14:36:50.346097,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
TSLA_20251013_143650,2025-10-13T14:36:50.367979,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143650,2025-10-13T14:36:50.369563,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143650,2025-10-13T14:36:50.929352,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143651,2025-10-13T14:36:51.445110,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143656,2025-10-13T14:36:56.664858,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143656,2025-10-13T14:36:56.689290,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143702,2025-10-13T14:37:02.606279,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143702,2025-10-13T14:37:02.684297,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143702,2025-10-13T14:37:02.693785,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143709,2025-10-13T14:37:09.028301,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143709,2025-10-13T14:37:09.129397,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
NVDA_20251013_143710,2025-10-13T14:37:10.327509,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143710,2025-10-13T14:37:10.356064,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143715,2025-10-13T14:37:15.356471,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AMZN_20251013_143716,2025-10-13T14:37:16.454301,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143717,2025-10-13T14:37:17.088985,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
NVDA_20251013_143721,2025-10-13T14:37:21.525020,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143721,2025-10-13T14:37:21.990940,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143723,2025-10-13T14:37:23.184037,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AMZN_20251013_143727,2025-10-13T14:37:27.937904,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143728,2025-10-13T14:37:28.280300,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
NVDA_20251013_143753,2025-10-13T14:37:53.851949,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143753,2025-10-13T14:37:53.856993,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143754,2025-10-13T14:37:54.162606,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143759,2025-10-13T14:37:59.721867,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143759,2025-10-13T14:37:59.889764,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143815,2025-10-13T14:38:15.630166,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
TSLA_20251013_143815,2025-10-13T14:38:15.934072,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143816,2025-10-13T14:38:16.227185,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143821,2025-10-13T14:38:21.601266,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143821,2025-10-13T14:38:21.627943,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143823,2025-10-13T14:38:23.956209,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143824,2025-10-13T14:38:24.248974,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143827,2025-10-13T14:38:27.644507,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AVGO_20251013_143830,2025-10-13T14:38:30.382401,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143830,2025-10-13T14:38:30.525343,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143853,2025-10-13T14:38:53.919632,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143853,2025-10-13T14:38:53.976616,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,False,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143854,2025-10-13T14:38:54.594253,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143859,2025-10-13T14:38:59.830469,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143859,2025-10-13T14:38:59.947489,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,10,0.4,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143915,2025-10-13T14:39:15.579937,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143915,2025-10-13T14:39:15.702776,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,True,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143915,2025-10-13T14:39:15.943784,QQQ,BUY,35.7,597.33,596.14,602.77,597.03,3.97,10,6,0.63,False,8,True,MEDIUM,OPEN,,,,
AVGO_20251013_143921,2025-10-13T14:39:21.466616,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143921,2025-10-13T14:39:21.814186,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143923,2025-10-13T14:39:23.569405,NVDA,STRONG BUY,39.3,186.06,186.89,190.62,185.76,2.77,11,3,0.44,True,5,True,EXTREME,OPEN,,,,
QQQ_20251013_143923,2025-10-13T14:39:23.572838,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143927,2025-10-13T14:39:27.231330,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
AVGO_20251013_143929,2025-10-13T14:39:29.387733,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143929,2025-10-13T14:39:29.819576,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
NVDA_20251013_143952,2025-10-13T14:39:52.961770,NVDA,STRONG BUY,46.4,186.06,186.89,190.62,185.76,2.77,13,3,0.44,True,6,True,EXTREME,OPEN,,,,
TSLA_20251013_143952,2025-10-13T14:39:52.997754,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
QQQ_20251013_143953,2025-10-13T14:39:53.251108,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
AMZN_20251013_143958,2025-10-13T14:39:58.675407,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,9,True,MEDIUM,OPEN,,,,
AVGO_20251013_143958,2025-10-13T14:39:58.828005,AVGO,STRONG BUY,35.7,343.62,331.93,339.23,343.32,38.97,10,2,1.49,False,2,True,EXTREME,OPEN,,,,
TSLA_20251013_144018,2025-10-13T14:40:18.726067,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
