date,signal,alert_type,confidence,entry_price,tp1,stop_loss,pnl,pnl_pct,outcome,bullish_score,bearish_score,gap_type,gap_size,news_sentiment,news_impact,dark_pool_flow,options_sentiment,regime
2025-08-14,BUY,STRONG BUY,60.0,32.76,39.11,32.46,6.35,19.38,TP_HIT,9,6,GAP_DOWN,-2.2,NEUTRAL,NONE,BUYING,BEARISH,downtrend
2025-08-15,BUY,STRONG BUY,73.3,33.04,39.45,32.74,6.41,19.4,TP_HIT,11,3,GAP_UP,5.06,POSITIVE,MEDIUM,NEUTRAL,BULLISH,downtrend
2025-08-18,BUY,STRONG BUY,80.0,34.04,41.51,33.74,7.47,21.94,TP_HIT,12,5,GAP_UP,2.55,POSITIVE,MEDIUM,SELLING,BULLISH,downtrend
2025-08-19,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,4,5,GAP_DOWN,-1.15,NEUTRAL,NONE,SELLING,BEARISH,downtrend
2025-08-20,BUY,STRONG BUY,95.0,36.76,42.58,36.46,5.82,15.83,TP_HIT,15,2,GAP_UP,4.5,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-08-21,SELL,SELL,40.0,44.33,44.47,43.0,1.33,3.0,SL_HIT,5,6,GAP_DOWN,-1.65,NEUTRAL,NONE,SELLING,BEARISH,downtrend
2025-08-22,BUY,STRONG BUY,80.0,38.17,44.52,37.87,6.35,16.64,TP_HIT,12,3,GAP_UP,2.91,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-08-25,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,4,4,GAP_UP,1.96,NEUTRAL,NONE,NEUTRAL,BEARISH,downtrend
2025-08-26,BUY,STRONG BUY,93.3,41.2,46.49,40.9,5.29,12.84,TP_HIT,14,3,GAP_UP,3.0,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-08-27,SELL,SELL,40.0,48.0,47.35,46.95,1.05,2.19,SL_HIT,5,6,GAP_UP,1.64,NEUTRAL,NONE,SELLING,BULLISH,downtrend
2025-08-28,BUY,STRONG BUY,80.0,42.63,48.15,42.33,5.52,12.95,TP_HIT,12,3,GAP_UP,2.44,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-08-29,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,5,4,NO_GAP,-0.33,NEUTRAL,NONE,SELLING,BULLISH,downtrend
2025-09-01,SELL,SELL,40.0,48.57,48.57,48.87,-0.3,-0.62,SL_HIT,2,6,NO_GAP,-0.63,NEUTRAL,LOW,SELLING,BEARISH,downtrend
2025-09-02,BUY,STRONG BUY,86.7,45.02,48.39,44.72,3.37,7.49,TP_HIT,13,2,GAP_UP,3.94,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-09-03,BUY,STRONG BUY,95.0,45.65,50.2,45.35,4.55,9.97,TP_HIT,15,2,GAP_UP,3.54,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-09-04,BUY,BUY,46.7,47.54,52.04,47.24,4.5,9.47,TP_HIT,7,2,NO_GAP,-0.48,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-09-05,BUY,STRONG BUY,80.0,48.01,52.42,47.71,4.41,9.19,TP_HIT,12,2,GAP_UP,5.05,POSITIVE,MEDIUM,NEUTRAL,BULLISH,downtrend
2025-09-08,BUY,STRONG BUY,60.0,48.37,54.66,48.07,6.29,13.0,TP_HIT,9,2,NO_GAP,0.79,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-09-09,BUY,BUY,46.7,48.67,54.99,48.37,6.32,12.99,TP_HIT,7,2,GAP_UP,1.79,NEUTRAL,LOW,BUYING,NEUTRAL,downtrend
2025-09-10,BUY,BUY,40.0,48.92,56.23,48.62,7.31,14.94,TP_HIT,6,3,NO_GAP,-0.05,NEUTRAL,NONE,SELLING,NEUTRAL,downtrend
2025-09-11,BUY,STRONG BUY,86.7,50.0,55.78,49.7,5.78,11.56,TP_HIT,13,2,GAP_UP,2.97,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-09-12,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,5,3,GAP_UP,1.07,NEUTRAL,NONE,NEUTRAL,BULLISH,downtrend
2025-09-15,BUY,BUY,46.7,52.3,58.12,52.0,5.82,11.13,TP_HIT,7,0,NO_GAP,-0.26,NEUTRAL,LOW,BUYING,NEUTRAL,downtrend
2025-09-16,BUY,STRONG BUY,60.0,54.16,58.28,53.86,4.12,7.61,TP_HIT,9,2,NO_GAP,0.76,NEUTRAL,LOW,BUYING,BULLISH,downtrend
2025-09-17,BUY,BUY,53.3,54.76,58.71,54.46,3.95,7.21,TP_HIT,8,1,GAP_UP,1.33,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-09-18,BUY,STRONG BUY,60.0,55.01,59.13,54.71,4.12,7.49,TP_HIT,9,2,NO_GAP,0.97,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-09-19,BUY,STRONG BUY,60.0,55.51,59.59,55.21,4.08,7.35,TP_HIT,9,2,GAP_UP,1.21,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-09-22,BUY,BUY,53.3,56.7,60.93,56.4,4.23,7.46,TP_HIT,8,3,NO_GAP,0.46,NEUTRAL,LOW,BUYING,BULLISH,downtrend
2025-09-23,BUY,BUY,40.0,57.07,62.15,56.77,5.08,8.9,TP_HIT,6,1,GAP_UP,1.36,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-09-24,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,4,5,NO_GAP,-0.37,NEUTRAL,NONE,SELLING,BEARISH,downtrend
2025-09-25,BUY,STRONG BUY,80.0,57.98,62.2,57.68,4.22,7.28,TP_HIT,12,3,GAP_UP,2.86,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-09-26,SELL,SELL,40.0,63.14,63.32,63.44,-0.18,-0.29,TP_HIT,5,6,NO_GAP,-0.39,NEUTRAL,NONE,SELLING,BEARISH,downtrend
2025-09-29,BUY,STRONG BUY,86.7,59.02,63.33,58.72,4.31,7.3,TP_HIT,13,2,GAP_UP,4.02,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-09-30,BUY,STRONG BUY,73.3,60.15,65.08,59.85,4.93,8.2,TP_HIT,11,2,GAP_UP,1.98,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-01,BUY,STRONG BUY,66.7,61.0,66.04,60.7,5.04,8.26,TP_HIT,10,3,GAP_UP,2.53,NEUTRAL,NONE,BUYING,NEUTRAL,downtrend
2025-10-02,BUY,STRONG BUY,80.0,61.63,66.8,61.33,5.17,8.39,TP_HIT,12,3,GAP_UP,2.6,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-10-03,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,4,5,NO_GAP,-0.31,NEUTRAL,LOW,SELLING,BEARISH,downtrend
2025-10-06,BUY,STRONG BUY,60.0,62.91,67.85,62.61,4.94,7.85,TP_HIT,9,6,GAP_UP,2.16,POSITIVE,MEDIUM,SELLING,NEUTRAL,downtrend
2025-10-07,BUY,STRONG BUY,86.7,63.14,68.98,62.84,5.84,9.25,TP_HIT,13,2,GAP_UP,3.04,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-10-08,,MONITOR,0.0,0.0,0.0,0.0,0.0,0.0,NO_SIGNAL,3,1,NO_GAP,-0.01,NEUTRAL,NONE,NEUTRAL,NEUTRAL,downtrend
2025-10-09,BUY,STRONG BUY,80.0,64.96,71.73,64.66,6.77,10.42,TP_HIT,12,3,GAP_UP,3.36,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-10-10,BUY,STRONG BUY,93.3,66.05,73.49,65.75,7.44,11.26,TP_HIT,14,3,GAP_UP,8.13,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-13,BUY,STRONG BUY,66.7,66.54,79.05,66.24,12.51,18.8,TP_HIT,10,2,GAP_UP,5.5,NEUTRAL,NONE,NEUTRAL,BULLISH,downtrend
2025-10-14,BUY,STRONG BUY,73.3,67.27,84.07,66.97,16.8,24.97,TP_HIT,11,3,GAP_UP,10.22,POSITIVE,MEDIUM,NEUTRAL,BULLISH,downtrend
2025-10-15,BUY,STRONG BUY,95.0,69.18,92.32,68.88,23.14,33.45,TP_HIT,15,2,GAP_UP,4.39,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-16,BUY,STRONG BUY,93.3,70.98,95.64,70.68,24.66,34.74,TP_HIT,14,3,GAP_UP,11.15,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-17,BUY,STRONG BUY,86.7,71.85,104.95,71.55,33.1,46.07,TP_HIT,13,2,GAP_UP,5.94,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-10-20,BUY,STRONG BUY,93.3,73.78,111.47,73.48,37.69,51.08,TP_HIT,14,3,GAP_UP,9.98,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-21,BUY,STRONG BUY,80.0,79.86,122.07,79.56,42.21,52.85,TP_HIT,12,3,GAP_UP,9.39,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-10-22,BUY,STRONG BUY,80.0,85.07,133.07,84.77,48.0,56.42,TP_HIT,12,3,GAP_UP,11.55,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-10-23,BUY,STRONG BUY,73.3,91.52,147.76,91.22,56.24,61.45,TP_HIT,11,3,GAP_UP,13.6,POSITIVE,MEDIUM,NEUTRAL,BULLISH,downtrend
2025-10-24,BUY,STRONG BUY,93.3,95.45,167.57,95.15,72.12,75.56,TP_HIT,14,3,GAP_UP,12.72,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-27,BUY,STRONG BUY,80.0,105.55,192.71,105.25,87.16,82.58,TP_HIT,12,3,GAP_UP,9.4,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-10-28,BUY,STRONG BUY,95.0,112.34,206.91,112.04,94.57,84.18,TP_HIT,15,2,GAP_UP,9.87,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-29,BUY,STRONG BUY,60.0,124.22,233.29,123.92,109.07,87.8,TP_HIT,9,3,GAP_UP,13.85,NEUTRAL,NONE,NEUTRAL,BULLISH,downtrend
2025-10-30,BUY,STRONG BUY,95.0,135.95,260.58,135.65,124.63,91.67,TP_HIT,15,2,GAP_UP,8.27,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-10-31,BUY,STRONG BUY,95.0,152.31,284.23,152.01,131.92,86.61,TP_HIT,15,2,GAP_UP,10.1,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-11-03,BUY,STRONG BUY,95.0,171.24,313.48,170.94,142.24,83.06,TP_HIT,15,2,GAP_UP,9.23,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-11-04,BUY,STRONG BUY,93.3,191.04,343.29,190.74,152.25,79.7,TP_HIT,14,3,GAP_UP,6.97,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-11-05,BUY,STRONG BUY,93.3,209.78,373.02,209.48,163.24,77.81,TP_HIT,14,3,GAP_UP,8.07,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-11-06,BUY,STRONG BUY,93.3,232.53,401.06,232.23,168.53,72.48,TP_HIT,14,3,GAP_UP,5.4,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-11-07,BUY,STRONG BUY,93.3,260.22,423.14,259.92,162.92,62.61,TP_HIT,14,3,GAP_UP,10.6,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
2025-11-10,BUY,STRONG BUY,80.0,285.89,466.11,285.59,180.22,63.04,TP_HIT,12,3,GAP_UP,5.54,NEUTRAL,NONE,BUYING,BULLISH,downtrend
2025-11-11,BUY,STRONG BUY,60.0,314.59,488.76,314.29,174.17,55.36,TP_HIT,9,2,GAP_UP,1.92,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-11-12,BUY,STRONG BUY,80.0,346.06,508.56,345.76,162.5,46.96,TP_HIT,12,3,GAP_UP,5.96,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-11-13,BUY,STRONG BUY,80.0,374.23,535.66,373.93,161.43,43.14,TP_HIT,12,3,GAP_UP,7.97,POSITIVE,MEDIUM,BUYING,NEUTRAL,downtrend
2025-11-14,BUY,STRONG BUY,93.3,404.68,575.95,404.38,0.0,0.0,NO_NEXT_DAY,14,3,GAP_UP,3.99,POSITIVE,MEDIUM,BUYING,BULLISH,downtrend
