date,open,high,low,close,volume,regime
2025-10-15,95.79,96.07,92.39,94.63,17907379,downtrend
2025-10-16,105.18,105.51,104.22,104.6,25350583,downtrend
2025-10-17,110.81,112.12,109.14,110.65,22902592,downtrend
2025-10-20,121.69,122.52,121.52,121.79,35253774,downtrend
2025-10-21,133.23,134.58,131.94,132.34,33671426,downtrend
2025-10-22,147.62,147.84,147.59,147.69,37696239,downtrend
2025-10-23,167.77,170.14,166.05,166.45,42387445,downtrend
2025-10-24,187.62,195.35,186.43,190.26,43265976,downtrend
2025-10-27,208.15,209.68,204.47,205.48,27048657,downtrend
2025-10-28,225.77,232.89,225.3,231.2,28937829,downtrend
2025-10-29,263.23,263.64,253.83,257.88,37258688,downtrend
2025-10-30,279.21,285.14,278.99,282.54,43281739,downtrend
2025-10-31,311.09,315.39,306.19,310.95,43960696,downtrend
2025-11-03,339.66,343.68,339.38,342.11,33136871,downtrend
2025-11-04,365.95,377.7,365.72,369.73,28228959,downtrend
2025-11-05,399.57,405.02,399.35,399.5,25420710,downtrend
2025-11-06,421.09,426.32,420.28,421.48,16616139,downtrend
2025-11-07,466.16,471.39,460.99,463.25,24518697,downtrend
2025-11-10,488.9,490.88,486.77,487.63,17266522,downtrend
2025-11-11,496.98,505.41,491.07,504.62,19322901,downtrend
2025-11-12,534.72,538.16,530.0,533.42,26476358,downtrend
2025-11-13,575.94,579.5,566.44,572.36,22968632,downtrend
2025-11-14,595.17,597.66,586.94,590.25,24933276,downtrend
