date,timestamp,type,strike,expiration,contracts,premium,notional_value,unusual,sentiment
2025-07-15,2025-07-15T15:13:00,put,23.0,2025-09-13,57,3.19,18184.22,False,put
2025-07-15,2025-07-15T13:58:00,put,26.0,2025-08-14,146,2.54,37068.66,False,put
2025-07-15,2025-07-15T16:31:00,put,26.0,2025-07-22,21,1.7,3574.25,False,put
2025-07-15,2025-07-15T12:21:00,put,27.0,2025-08-14,782,2.49,194944.15,False,put
2025-07-15,2025-07-15T14:06:00,put,25.0,2025-08-14,643,1.16,74561.94,False,put
2025-07-15,2025-07-15T14:35:00,put,26.0,2025-07-29,30,3.31,9934.48,False,put
2025-07-15,2025-07-15T13:28:00,put,24.0,2025-07-18,834,2.97,247742.7,True,put
2025-07-15,2025-07-15T10:45:00,call,26.0,2025-09-13,42,4.23,17755.53,False,call
2025-07-15,2025-07-15T14:27:00,call,27.0,2025-07-22,199,2.08,41296.22,False,call
2025-07-15,2025-07-15T15:50:00,call,23.0,2025-09-13,133,1.65,21976.33,False,call
2025-07-15,2025-07-15T16:08:00,call,25.0,2025-09-13,57,2.86,16302.53,False,call
2025-07-15,2025-07-15T11:12:00,call,27.0,2025-07-18,98,3.8,37279.99,False,call
2025-07-15,2025-07-15T14:37:00,call,24.0,2025-07-22,3,3.49,1046.05,False,call
2025-07-15,2025-07-15T11:59:00,put,26.0,2025-09-13,32,3.15,10088.31,False,put
2025-07-15,2025-07-15T09:22:00,call,26.0,2025-09-13,473,0.71,33804.62,False,call
2025-07-15,2025-07-15T13:50:00,call,27.0,2025-08-14,69,1.07,7369.08,False,call
2025-07-15,2025-07-15T11:42:00,call,27.0,2025-07-18,23,1.29,2966.42,False,call
2025-07-15,2025-07-15T10:34:00,call,28.0,2025-07-29,289,0.82,23787.63,False,call
2025-07-15,2025-07-15T09:59:00,call,26.0,2025-09-13,160,2.78,44456.15,False,call
2025-07-15,2025-07-15T15:48:00,put,24.0,2025-07-29,15,3.18,4769.2,False,put
2025-07-15,2025-07-15T14:53:00,put,24.0,2025-07-29,148,2.28,33777.84,False,put
2025-07-15,2025-07-15T11:40:00,call,25.0,2025-08-14,732,1.41,102994.01,False,call
2025-07-15,2025-07-15T11:10:00,put,24.0,2025-09-13,35,4.15,14529.68,False,put
2025-07-15,2025-07-15T09:27:00,call,25.0,2025-07-22,283,0.71,19963.5,False,call
2025-07-15,2025-07-15T11:41:00,call,25.0,2025-08-14,58,3.63,21076.48,False,call
2025-07-15,2025-07-15T15:42:00,put,24.0,2025-07-29,19,1.03,1963.72,False,put
2025-07-15,2025-07-15T10:34:00,call,24.0,2025-07-29,190,3.65,69372.73,False,call
2025-07-15,2025-07-15T15:48:00,put,27.0,2025-07-29,257,4.3,110406.78,False,put
2025-07-15,2025-07-15T15:46:00,put,25.0,2025-07-22,470,4.45,209037.9,True,put
2025-07-15,2025-07-15T15:00:00,put,25.0,2025-07-22,201,2.8,56208.96,False,put
2025-07-15,2025-07-15T15:45:00,call,28.0,2025-08-14,42,2.82,11856.76,False,call
2025-07-15,2025-07-15T14:52:00,call,25.0,2025-09-13,50,2.06,10302.77,False,call
2025-07-15,2025-07-15T14:18:00,call,25.0,2025-07-22,1,2.82,281.75,False,call
2025-07-15,2025-07-15T11:52:00,put,24.0,2025-07-29,29,3.0,8689.99,False,put
2025-07-15,2025-07-15T15:29:00,put,28.0,2025-08-14,21,3.68,7731.17,False,put
2025-07-15,2025-07-15T12:44:00,put,27.0,2025-07-22,2,2.0,400.92,False,put
2025-07-15,2025-07-15T09:47:00,call,23.0,2025-09-13,349,4.23,147462.68,False,call
2025-07-15,2025-07-15T12:53:00,call,24.0,2025-09-13,12,4.58,5494.43,False,call
2025-07-15,2025-07-15T13:10:00,put,28.0,2025-07-29,99,1.88,18627.51,False,put
2025-07-15,2025-07-15T11:26:00,put,23.0,2025-07-29,60,2.56,15340.02,False,put
2025-07-15,2025-07-15T13:02:00,call,25.0,2025-07-29,195,4.08,79641.31,False,call
2025-07-15,2025-07-15T15:09:00,put,24.0,2025-07-22,7,3.17,2221.29,False,put
2025-07-15,2025-07-15T13:41:00,call,24.0,2025-07-29,2,4.37,874.12,False,call
2025-07-15,2025-07-15T11:44:00,put,27.0,2025-07-29,818,3.46,283219.43,False,put
2025-07-15,2025-07-15T12:48:00,call,26.0,2025-07-22,4,2.29,914.71,False,call
2025-07-15,2025-07-15T10:14:00,put,26.0,2025-08-14,240,0.64,15243.45,False,put
2025-07-15,2025-07-15T14:18:00,put,26.0,2025-08-14,6,1.11,667.45,False,put
2025-07-15,2025-07-15T11:42:00,call,28.0,2025-07-18,733,3.51,257352.98,False,call
2025-07-15,2025-07-15T16:53:00,call,24.0,2025-07-18,685,3.31,226730.34,True,call
2025-07-15,2025-07-15T10:58:00,call,24.0,2025-07-18,43,4.58,19704.13,False,call
2025-07-15,2025-07-15T14:27:00,call,23.0,2025-07-22,170,2.75,46771.63,False,call
2025-07-15,2025-07-15T15:59:00,call,25.0,2025-07-18,174,3.6,62685.0,False,call
2025-07-15,2025-07-15T14:55:00,call,26.0,2025-09-13,404,4.88,196972.18,False,call
2025-07-16,2025-07-16T12:33:00,put,24.0,2025-08-15,24,2.58,6200.27,False,put
2025-07-16,2025-07-16T16:17:00,put,23.0,2025-07-19,50,4.44,22201.93,False,put
2025-07-16,2025-07-16T11:29:00,call,24.0,2025-07-23,107,4.07,43586.06,False,call
2025-07-16,2025-07-16T14:57:00,call,23.0,2025-07-19,103,3.66,37705.01,False,call
2025-07-16,2025-07-16T16:27:00,put,27.0,2025-07-19,16,4.6,7367.39,False,put
2025-07-16,2025-07-16T11:44:00,put,24.0,2025-07-23,152,3.14,47652.42,False,put
2025-07-16,2025-07-16T09:26:00,put,27.0,2025-07-19,36,2.04,7344.22,False,put
2025-07-16,2025-07-16T12:16:00,call,24.0,2025-07-19,7,0.56,395.25,False,call
2025-07-16,2025-07-16T10:07:00,call,23.0,2025-08-15,137,4.38,59960.02,False,call
2025-07-16,2025-07-16T09:25:00,call,26.0,2025-08-15,181,2.08,37636.41,False,call
2025-07-16,2025-07-16T16:19:00,put,25.0,2025-09-14,43,4.72,20283.11,False,put
2025-07-16,2025-07-16T15:27:00,put,26.0,2025-07-23,11,3.76,4135.08,False,put
2025-07-16,2025-07-16T09:42:00,call,27.0,2025-08-15,151,3.12,47108.86,False,call
2025-07-16,2025-07-16T10:39:00,put,27.0,2025-07-30,561,1.31,73660.5,True,put
2025-07-16,2025-07-16T09:05:00,put,23.0,2025-07-23,48,2.68,12878.32,False,put
2025-07-16,2025-07-16T14:04:00,put,25.0,2025-08-15,825,1.97,162743.01,False,put
2025-07-16,2025-07-16T14:13:00,put,27.0,2025-07-23,118,0.78,9156.42,False,put
2025-07-16,2025-07-16T13:44:00,call,23.0,2025-07-23,200,3.16,63284.56,False,call
2025-07-16,2025-07-16T11:09:00,put,24.0,2025-09-14,46,2.05,9410.32,False,put
2025-07-16,2025-07-16T12:32:00,call,25.0,2025-07-30,829,0.95,78720.78,True,call
2025-07-16,2025-07-16T15:33:00,put,23.0,2025-07-30,148,2.68,39682.24,False,put
2025-07-16,2025-07-16T15:33:00,put,27.0,2025-07-23,477,1.06,50561.22,False,put
2025-07-16,2025-07-16T09:45:00,put,27.0,2025-09-14,30,0.59,1758.53,False,put
2025-07-16,2025-07-16T14:00:00,call,22.0,2025-07-30,43,1.22,5226.91,False,call
2025-07-16,2025-07-16T13:40:00,call,23.0,2025-08-15,20,0.79,1584.41,False,call
2025-07-16,2025-07-16T16:17:00,put,26.0,2025-08-15,7,4.29,3001.22,False,put
2025-07-16,2025-07-16T15:34:00,call,22.0,2025-09-14,135,4.18,56413.1,False,call
2025-07-16,2025-07-16T15:10:00,put,27.0,2025-07-19,3,2.02,606.13,False,put
2025-07-16,2025-07-16T14:49:00,put,26.0,2025-07-30,40,1.78,7131.05,False,put
2025-07-16,2025-07-16T10:46:00,put,25.0,2025-07-19,599,1.28,76467.61,False,put
2025-07-16,2025-07-16T15:57:00,put,23.0,2025-07-23,180,2.19,39500.23,False,put
2025-07-16,2025-07-16T14:10:00,call,25.0,2025-07-23,40,1.3,5217.89,False,call
2025-07-16,2025-07-16T10:35:00,put,26.0,2025-07-30,32,2.57,8215.84,False,put
2025-07-16,2025-07-16T13:29:00,call,22.0,2025-07-19,37,4.27,15800.03,False,call
2025-07-16,2025-07-16T13:33:00,put,25.0,2025-08-15,9,3.97,3573.87,False,put
2025-07-16,2025-07-16T11:01:00,put,26.0,2025-09-14,9,3.96,3560.79,False,put
2025-07-16,2025-07-16T11:53:00,put,27.0,2025-07-30,27,3.07,8293.01,False,put
2025-07-16,2025-07-16T14:40:00,call,22.0,2025-09-14,8,3.01,2409.72,False,call
2025-07-16,2025-07-16T12:34:00,put,26.0,2025-08-15,4,3.82,1527.72,False,put
2025-07-16,2025-07-16T14:20:00,put,23.0,2025-08-15,15,4.91,7364.02,False,put
2025-07-16,2025-07-16T14:03:00,call,27.0,2025-07-23,20,1.88,3750.74,False,call
2025-07-16,2025-07-16T10:35:00,put,26.0,2025-08-15,718,4.36,313266.5,True,put
2025-07-16,2025-07-16T11:20:00,call,23.0,2025-07-23,9,0.82,740.99,False,call
2025-07-16,2025-07-16T11:18:00,call,26.0,2025-08-15,990,2.82,279575.69,False,call
2025-07-16,2025-07-16T11:27:00,put,27.0,2025-09-14,773,1.34,103576.88,False,put
2025-07-16,2025-07-16T10:24:00,put,23.0,2025-08-15,24,2.65,6356.01,False,put
2025-07-16,2025-07-16T11:33:00,put,26.0,2025-07-30,2,1.06,212.37,False,put
2025-07-16,2025-07-16T12:15:00,call,26.0,2025-07-19,304,1.93,58534.38,False,call
2025-07-16,2025-07-16T16:19:00,call,24.0,2025-08-15,931,1.97,183237.73,False,call
2025-07-16,2025-07-16T15:12:00,put,23.0,2025-09-14,9,0.64,579.63,False,put
2025-07-16,2025-07-16T15:28:00,put,27.0,2025-07-19,49,3.86,18910.49,False,put
2025-07-16,2025-07-16T16:56:00,put,23.0,2025-08-15,24,4.39,10529.89,False,put
2025-07-16,2025-07-16T14:35:00,call,27.0,2025-07-19,3,2.11,633.1,False,call
2025-07-16,2025-07-16T10:10:00,call,25.0,2025-09-14,51,4.5,22969.99,False,call
2025-07-16,2025-07-16T12:19:00,call,23.0,2025-09-14,35,3.5,12257.69,False,call
2025-07-16,2025-07-16T09:07:00,call,25.0,2025-07-19,182,2.03,36905.99,False,call
2025-07-16,2025-07-16T11:25:00,put,27.0,2025-08-15,4,4.75,1898.16,False,put
2025-07-16,2025-07-16T10:35:00,put,24.0,2025-07-30,883,2.66,235139.84,False,put
2025-07-16,2025-07-16T14:31:00,call,24.0,2025-07-30,32,3.08,9848.71,False,call
2025-07-16,2025-07-16T10:59:00,put,23.0,2025-07-23,2,2.96,591.79,False,put
2025-07-16,2025-07-16T10:05:00,call,24.0,2025-07-23,1,3.31,331.39,False,call
2025-07-16,2025-07-16T11:34:00,call,27.0,2025-09-14,94,2.83,26598.61,False,call
2025-07-16,2025-07-16T13:27:00,put,25.0,2025-09-14,8,4.28,3424.86,False,put
2025-07-16,2025-07-16T10:38:00,call,23.0,2025-07-30,432,0.68,29178.53,False,call
2025-07-16,2025-07-16T15:44:00,call,24.0,2025-07-30,145,4.64,67271.3,False,call
2025-07-16,2025-07-16T12:08:00,call,22.0,2025-08-15,47,2.14,10041.23,False,call
2025-07-16,2025-07-16T12:24:00,call,23.0,2025-08-15,560,2.11,118203.41,False,call
2025-07-16,2025-07-16T09:33:00,put,26.0,2025-07-23,1,3.39,338.64,False,put
2025-07-17,2025-07-17T13:31:00,call,24.0,2025-07-20,461,0.97,44775.82,False,call
2025-07-17,2025-07-17T15:04:00,put,27.0,2025-08-16,6,1.9,1137.95,False,put
2025-07-17,2025-07-17T09:18:00,put,25.0,2025-07-20,48,4.9,23510.65,False,put
2025-07-17,2025-07-17T14:29:00,put,24.0,2025-07-31,1,1.08,107.78,False,put
2025-07-17,2025-07-17T09:47:00,put,23.0,2025-07-20,79,2.7,21291.82,False,put
2025-07-17,2025-07-17T16:25:00,call,23.0,2025-07-20,3,3.57,1072.16,False,call
2025-07-17,2025-07-17T09:45:00,put,24.0,2025-07-20,123,3.83,47057.57,False,put
2025-07-17,2025-07-17T09:59:00,put,24.0,2025-09-15,479,1.05,50421.84,False,put
2025-07-17,2025-07-17T13:59:00,put,26.0,2025-09-15,182,2.81,51164.87,False,put
2025-07-17,2025-07-17T11:07:00,put,23.0,2025-07-24,1,1.78,177.63,False,put
2025-07-17,2025-07-17T10:15:00,put,25.0,2025-08-16,628,1.05,65705.56,False,put
2025-07-17,2025-07-17T11:57:00,put,27.0,2025-07-20,6,3.86,2316.46,False,put
2025-07-17,2025-07-17T10:34:00,put,25.0,2025-07-31,818,4.65,380615.96,False,put
2025-07-17,2025-07-17T13:25:00,put,26.0,2025-07-24,5,0.79,395.51,False,put
2025-07-17,2025-07-17T14:56:00,put,26.0,2025-08-16,37,1.75,6458.74,False,put
2025-07-17,2025-07-17T16:24:00,call,26.0,2025-08-16,154,4.6,70890.01,False,call
2025-07-17,2025-07-17T15:40:00,call,23.0,2025-07-24,16,4.54,7270.54,False,call
2025-07-17,2025-07-17T09:05:00,put,25.0,2025-07-31,2,4.82,964.63,False,put
2025-07-17,2025-07-17T16:09:00,call,25.0,2025-07-24,136,2.82,38402.28,False,call
2025-07-17,2025-07-17T12:38:00,call,23.0,2025-08-16,516,1.25,64546.57,False,call
2025-07-17,2025-07-17T16:59:00,call,26.0,2025-07-31,14,1.96,2740.85,False,call
2025-07-17,2025-07-17T15:05:00,call,27.0,2025-09-15,268,3.99,107045.62,False,call
2025-07-17,2025-07-17T14:02:00,put,26.0,2025-08-16,10,1.21,1208.13,False,put
2025-07-17,2025-07-17T16:30:00,call,26.0,2025-09-15,33,2.23,7346.29,False,call
2025-07-17,2025-07-17T11:26:00,put,23.0,2025-07-24,26,3.42,8879.86,False,put
2025-07-17,2025-07-17T15:22:00,put,27.0,2025-07-20,9,2.6,2341.19,False,put
2025-07-17,2025-07-17T16:52:00,put,23.0,2025-07-24,12,3.33,3993.63,False,put
2025-07-17,2025-07-17T16:18:00,put,25.0,2025-07-31,289,2.34,67587.4,False,put
2025-07-18,2025-07-18T15:32:00,call,27.0,2025-07-25,8,3.59,2871.13,False,call
2025-07-18,2025-07-18T13:15:00,call,26.0,2025-07-21,571,3.98,227253.78,False,call
2025-07-18,2025-07-18T10:10:00,call,23.0,2025-08-17,8,2.29,1832.98,False,call
2025-07-18,2025-07-18T09:41:00,put,25.0,2025-07-21,9,4.22,3795.11,False,put
2025-07-18,2025-07-18T10:22:00,call,24.0,2025-08-01,18,0.9,1625.81,False,call
2025-07-18,2025-07-18T09:09:00,call,25.0,2025-08-01,48,3.76,18028.11,False,call
2025-07-18,2025-07-18T15:13:00,call,25.0,2025-08-17,37,2.11,7807.1,False,call
2025-07-18,2025-07-18T16:36:00,put,27.0,2025-07-21,5,4.28,2138.33,False,put
2025-07-18,2025-07-18T12:30:00,put,26.0,2025-08-01,31,4.3,13329.71,False,put
2025-07-18,2025-07-18T13:33:00,put,26.0,2025-08-01,139,0.97,13497.02,False,put
2025-07-18,2025-07-18T09:13:00,put,24.0,2025-09-16,2,4.6,920.23,False,put
2025-07-18,2025-07-18T14:06:00,call,25.0,2025-09-16,128,4.61,59038.05,False,call
2025-07-18,2025-07-18T10:21:00,put,24.0,2025-07-21,7,2.64,1846.43,False,put
2025-07-18,2025-07-18T13:05:00,put,24.0,2025-07-21,828,4.67,387043.52,False,put
2025-07-18,2025-07-18T12:44:00,call,24.0,2025-07-21,9,2.71,2435.26,False,call
2025-07-18,2025-07-18T15:42:00,put,25.0,2025-09-16,34,1.15,3905.85,False,put
2025-07-18,2025-07-18T16:31:00,call,27.0,2025-09-16,743,0.55,41050.32,True,call
2025-07-18,2025-07-18T15:02:00,put,26.0,2025-09-16,140,1.18,16484.89,False,put
2025-07-18,2025-07-18T10:20:00,put,27.0,2025-08-01,25,2.99,7481.16,False,put
2025-07-18,2025-07-18T15:03:00,call,27.0,2025-09-16,10,2.8,2803.24,False,call
2025-07-18,2025-07-18T09:01:00,put,24.0,2025-07-25,342,4.18,142968.73,False,put
2025-07-18,2025-07-18T12:01:00,put,26.0,2025-09-16,15,2.85,4268.46,False,put
2025-07-18,2025-07-18T15:26:00,call,24.0,2025-09-16,1,1.18,118.15,False,call
2025-07-18,2025-07-18T13:04:00,put,27.0,2025-07-25,155,1.8,27960.54,False,put
2025-07-18,2025-07-18T14:42:00,call,27.0,2025-07-25,50,4.56,22803.88,False,call
2025-07-18,2025-07-18T15:51:00,put,23.0,2025-09-16,102,0.94,9554.97,False,put
2025-07-18,2025-07-18T09:23:00,put,25.0,2025-07-25,6,3.53,2116.93,False,put
2025-07-18,2025-07-18T15:42:00,call,24.0,2025-08-01,3,4.08,1225.4,False,call
2025-07-18,2025-07-18T15:40:00,call,26.0,2025-07-21,38,2.15,8162.06,False,call
2025-07-18,2025-07-18T13:33:00,call,25.0,2025-07-25,26,4.71,12252.7,False,call
2025-07-18,2025-07-18T12:56:00,call,25.0,2025-07-21,6,2.34,1404.98,False,call
2025-07-18,2025-07-18T13:03:00,call,23.0,2025-08-01,797,2.02,161027.84,False,call
2025-07-18,2025-07-18T10:04:00,put,27.0,2025-07-25,4,2.36,944.96,False,put
2025-07-18,2025-07-18T12:38:00,call,25.0,2025-09-16,891,4.25,378570.43,True,call
2025-07-18,2025-07-18T09:13:00,call,25.0,2025-07-21,6,2.95,1768.71,False,call
2025-07-18,2025-07-18T16:24:00,call,25.0,2025-08-01,922,4.43,408461.87,False,call
2025-07-18,2025-07-18T13:30:00,call,25.0,2025-07-21,19,1.7,3238.45,False,call
2025-07-18,2025-07-18T11:23:00,call,26.0,2025-08-17,21,1.0,2107.99,False,call
2025-07-18,2025-07-18T09:33:00,call,24.0,2025-09-16,18,2.37,4271.01,False,call
2025-07-18,2025-07-18T16:40:00,put,24.0,2025-08-01,186,4.91,91409.55,False,put
2025-07-18,2025-07-18T10:22:00,put,27.0,2025-09-16,1,2.39,239.31,False,put
2025-07-18,2025-07-18T11:46:00,put,24.0,2025-09-16,7,4.39,3071.01,False,put
2025-07-18,2025-07-18T09:27:00,put,27.0,2025-07-25,38,2.92,11100.65,False,put
2025-07-18,2025-07-18T11:40:00,put,25.0,2025-08-01,171,2.86,48844.41,False,put
2025-07-18,2025-07-18T09:25:00,put,25.0,2025-07-21,27,1.44,3878.35,False,put
2025-07-18,2025-07-18T16:06:00,call,26.0,2025-08-17,1,4.33,432.71,False,call
2025-07-18,2025-07-18T14:10:00,call,25.0,2025-07-25,91,3.55,32325.64,False,call
2025-07-18,2025-07-18T10:50:00,call,23.0,2025-07-25,483,3.04,146789.66,False,call
2025-07-18,2025-07-18T14:31:00,call,27.0,2025-09-16,122,4.63,56447.01,False,call
2025-07-18,2025-07-18T16:12:00,call,26.0,2025-08-17,2,1.56,311.62,False,call
2025-07-18,2025-07-18T12:52:00,put,27.0,2025-08-17,16,4.28,6848.3,False,put
2025-07-18,2025-07-18T09:31:00,call,28.0,2025-07-21,19,1.3,2470.49,False,call
2025-07-18,2025-07-18T16:23:00,call,23.0,2025-08-01,736,1.0,73482.21,False,call
2025-07-18,2025-07-18T15:49:00,call,24.0,2025-07-21,3,2.84,850.93,False,call
2025-07-18,2025-07-18T09:54:00,call,25.0,2025-08-17,994,2.45,243828.02,False,call
2025-07-18,2025-07-18T12:57:00,call,28.0,2025-08-17,6,2.09,1251.77,False,call
2025-07-18,2025-07-18T10:36:00,call,25.0,2025-07-21,42,3.69,15483.79,False,call
2025-07-18,2025-07-18T15:01:00,call,23.0,2025-08-01,169,4.86,82117.52,False,call
2025-07-18,2025-07-18T14:00:00,call,25.0,2025-07-21,1,3.2,320.36,False,call
2025-07-18,2025-07-18T14:15:00,call,27.0,2025-07-25,2,4.67,934.96,False,call
2025-07-18,2025-07-18T10:55:00,call,27.0,2025-07-25,3,3.38,1013.37,False,call
2025-07-18,2025-07-18T16:50:00,call,25.0,2025-08-01,930,4.08,379481.13,False,call
2025-07-18,2025-07-18T16:39:00,call,25.0,2025-07-25,161,2.48,40007.32,False,call
2025-07-18,2025-07-18T12:03:00,call,24.0,2025-08-17,489,1.83,89340.78,False,call
2025-07-18,2025-07-18T11:53:00,call,26.0,2025-09-16,9,4.63,4163.32,False,call
2025-07-18,2025-07-18T13:48:00,put,24.0,2025-07-25,44,1.43,6284.94,False,put
2025-07-18,2025-07-18T15:45:00,call,24.0,2025-09-16,34,3.95,13420.4,False,call
2025-07-18,2025-07-18T12:29:00,put,27.0,2025-08-17,878,1.81,159279.17,True,put
2025-07-18,2025-07-18T10:12:00,call,28.0,2025-07-25,300,3.24,97307.23,False,call
2025-07-18,2025-07-18T15:16:00,call,27.0,2025-08-17,3,1.66,497.51,False,call
2025-07-18,2025-07-18T10:50:00,call,25.0,2025-07-25,1,3.13,313.1,False,call
2025-07-18,2025-07-18T15:28:00,call,23.0,2025-08-17,103,3.93,40430.51,False,call
2025-07-18,2025-07-18T13:35:00,call,27.0,2025-08-17,34,1.74,5899.27,False,call
2025-07-18,2025-07-18T11:41:00,put,26.0,2025-07-21,4,4.53,1813.03,False,put
2025-07-18,2025-07-18T09:37:00,call,26.0,2025-09-16,197,2.47,48730.31,False,call
2025-07-18,2025-07-18T15:59:00,call,25.0,2025-07-25,45,4.23,19021.89,False,call
2025-07-18,2025-07-18T12:23:00,call,26.0,2025-07-21,299,0.84,25143.1,False,call
2025-07-18,2025-07-18T12:57:00,put,25.0,2025-09-16,10,4.97,4965.1,False,put
2025-07-21,2025-07-21T10:45:00,call,25.0,2025-07-28,153,1.78,27188.89,False,call
2025-07-21,2025-07-21T13:17:00,call,27.0,2025-09-19,11,4.43,4868.41,False,call
2025-07-21,2025-07-21T14:50:00,call,29.0,2025-08-20,262,4.05,106071.23,False,call
2025-07-21,2025-07-21T14:11:00,call,25.0,2025-08-20,21,2.22,4656.8,False,call
2025-07-21,2025-07-21T11:56:00,call,25.0,2025-07-24,41,2.57,10528.02,False,call
2025-07-21,2025-07-21T16:13:00,put,28.0,2025-07-28,41,3.21,13168.65,False,put
2025-07-21,2025-07-21T11:45:00,put,28.0,2025-07-28,5,4.33,2167.18,False,put
2025-07-21,2025-07-21T14:03:00,put,26.0,2025-09-19,46,3.71,17070.81,False,put
2025-07-21,2025-07-21T16:50:00,call,27.0,2025-07-28,400,2.21,88457.13,False,call
2025-07-21,2025-07-21T13:06:00,put,27.0,2025-07-28,27,4.1,11058.41,False,put
2025-07-21,2025-07-21T13:16:00,call,26.0,2025-07-28,217,3.66,79494.08,False,call
2025-07-21,2025-07-21T15:41:00,put,26.0,2025-08-04,3,4.64,1390.94,False,put
2025-07-21,2025-07-21T16:37:00,put,27.0,2025-09-19,4,4.63,1852.77,False,put
2025-07-21,2025-07-21T15:14:00,call,28.0,2025-07-24,981,3.87,379233.3,False,call
2025-07-21,2025-07-21T11:48:00,put,28.0,2025-07-24,5,3.79,1892.7,False,put
2025-07-21,2025-07-21T10:59:00,put,25.0,2025-07-24,16,2.27,3636.7,False,put
2025-07-21,2025-07-21T11:37:00,call,28.0,2025-09-19,2,2.15,430.62,False,call
2025-07-21,2025-07-21T14:08:00,put,29.0,2025-07-28,47,4.05,19044.36,False,put
2025-07-21,2025-07-21T16:02:00,call,27.0,2025-08-04,74,3.86,28541.61,False,call
2025-07-21,2025-07-21T13:45:00,call,27.0,2025-08-04,797,1.28,102088.06,False,call
2025-07-21,2025-07-21T15:04:00,call,25.0,2025-07-28,190,4.08,77484.18,False,call
2025-07-21,2025-07-21T13:01:00,call,27.0,2025-09-19,91,1.76,15975.79,False,call
2025-07-21,2025-07-21T13:24:00,call,27.0,2025-07-28,18,1.31,2354.79,False,call
2025-07-21,2025-07-21T13:25:00,put,29.0,2025-08-20,10,3.36,3356.67,False,put
2025-07-21,2025-07-21T16:20:00,put,28.0,2025-07-24,169,3.56,60097.69,False,put
2025-07-21,2025-07-21T11:20:00,put,25.0,2025-08-04,36,0.9,3256.83,False,put
2025-07-21,2025-07-21T11:18:00,put,26.0,2025-08-04,7,2.89,2020.4,False,put
2025-07-21,2025-07-21T10:32:00,call,28.0,2025-07-24,21,2.05,4314.91,False,call
2025-07-21,2025-07-21T12:59:00,call,26.0,2025-07-28,13,4.2,5463.65,False,call
2025-07-21,2025-07-21T11:03:00,call,25.0,2025-08-20,33,2.99,9872.39,False,call
2025-07-21,2025-07-21T13:38:00,call,25.0,2025-09-19,118,1.62,19062.23,False,call
2025-07-21,2025-07-21T15:09:00,put,27.0,2025-07-24,49,4.0,19619.06,False,put
2025-07-21,2025-07-21T16:51:00,call,29.0,2025-08-20,15,0.6,896.41,False,call
2025-07-21,2025-07-21T13:58:00,put,25.0,2025-09-19,48,2.18,10446.2,False,put
2025-07-21,2025-07-21T14:01:00,call,28.0,2025-09-19,17,4.98,8464.45,False,call
2025-07-21,2025-07-21T15:21:00,call,27.0,2025-07-24,153,0.54,8320.82,False,call
2025-07-21,2025-07-21T13:42:00,put,26.0,2025-09-19,38,2.83,10759.04,False,put
2025-07-21,2025-07-21T11:20:00,call,27.0,2025-07-24,1000,3.59,358592.54,False,call
2025-07-21,2025-07-21T09:25:00,call,28.0,2025-09-19,4,3.08,1230.29,False,call
2025-07-21,2025-07-21T14:34:00,put,27.0,2025-07-28,7,0.79,552.23,False,put
2025-07-21,2025-07-21T15:48:00,put,29.0,2025-09-19,804,4.47,359652.31,False,put
2025-07-21,2025-07-21T13:10:00,call,26.0,2025-07-24,4,0.61,244.55,False,call
2025-07-21,2025-07-21T14:00:00,put,28.0,2025-09-19,130,0.67,8682.46,False,put
